date,time,age,confirmed,deceased
2020-06-04,0,0s,160,0
2020-06-04,0,10s,661,0
2020-06-04,0,20s,3193,0
2020-06-04,0,30s,1308,2
2020-06-04,0,40s,1537,3
2020-06-04,0,50s,2079,15
2020-06-04,0,60s,1445,39
2020-06-04,0,70s,744,81
2020-06-04,0,80s,502,133
2020-06-05,0,0s,161,0
2020-06-05,0,10s,663,0
2020-06-05,0,20s,3198,0
2020-06-05,0,30s,1310,2
2020-06-05,0,40s,1540,3
2020-06-05,0,50s,2086,15
2020-06-05,0,60s,1455,39
2020-06-05,0,70s,751,81
2020-06-05,0,80s,504,133
2020-06-06,0,0s,164,0
2020-06-06,0,10s,664,0
2020-06-06,0,20s,3200,0
2020-06-06,0,30s,1316,2
2020-06-06,0,40s,1551,3
2020-06-06,0,50s,2094,15
2020-06-06,0,60s,1464,39
2020-06-06,0,70s,759,81
2020-06-06,0,80s,507,133
2020-06-07,0,0s,165,0
2020-06-07,0,10s,670,0
2020-06-07,0,20s,3203,0
2020-06-07,0,30s,1322,2
2020-06-07,0,40s,1559,3
2020-06-07,0,50s,2105,15
2020-06-07,0,60s,1476,39
2020-06-07,0,70s,767,81
2020-06-07,0,80s,509,133
2020-06-08,0,0s,166,0
2020-06-08,0,10s,672,0
2020-06-08,0,20s,3208,0
2020-06-08,0,30s,1324,2
2020-06-08,0,40s,1564,3
2020-06-08,0,50s,2111,15
2020-06-08,0,60s,1487,39
2020-06-08,0,70s,770,81
2020-06-08,0,80s,512,133
2020-06-09,0,0s,166,0
2020-06-09,0,10s,672,0
2020-06-09,0,20s,3211,0
2020-06-09,0,30s,1326,2
2020-06-09,0,40s,1568,3
2020-06-09,0,50s,2121,15
2020-06-09,0,60s,1496,39
2020-06-09,0,70s,775,81
2020-06-09,0,80s,517,134
2020-06-10,0,0s,167,0
2020-06-10,0,10s,674,0
2020-06-10,0,20s,3217,0
2020-06-10,0,30s,1335,2
2020-06-10,0,40s,1569,3
2020-06-10,0,50s,2128,15
2020-06-10,0,60s,1512,39
2020-06-10,0,70s,782,81
2020-06-10,0,80s,518,136
2020-06-11,0,0s,168,0
2020-06-11,0,10s,677,0
2020-06-11,0,20s,3223,0
2020-06-11,0,30s,1345,2
2020-06-11,0,40s,1574,3
2020-06-11,0,50s,2137,15
2020-06-11,0,60s,1517,39
2020-06-11,0,70s,787,81
2020-06-11,0,80s,519,136
2020-06-12,0,0s,168,0
2020-06-12,0,10s,680,0
2020-06-12,0,20s,3234,0
2020-06-12,0,30s,1353,2
2020-06-12,0,40s,1575,3
2020-06-12,0,50s,2154,15
2020-06-12,0,60s,1530,40
2020-06-12,0,70s,789,81
2020-06-12,0,80s,520,136
2020-06-13,0,0s,168,0
2020-06-13,0,10s,681,0
2020-06-13,0,20s,3243,0
2020-06-13,0,30s,1354,2
2020-06-13,0,40s,1578,3
2020-06-13,0,50s,2163,15
2020-06-13,0,60s,1538,40
2020-06-13,0,70s,796,81
2020-06-13,0,80s,530,136
2020-06-14,0,0s,168,0
2020-06-14,0,10s,681,0
2020-06-14,0,20s,3251,0
2020-06-14,0,30s,1357,2
2020-06-14,0,40s,1584,3
2020-06-14,0,50s,2170,15
2020-06-14,0,60s,1546,40
2020-06-14,0,70s,797,81
2020-06-14,0,80s,531,136
2020-06-15,0,0s,170,0
2020-06-15,0,10s,681,0
2020-06-15,0,20s,3256,0
2020-06-15,0,30s,1362,2
2020-06-15,0,40s,1595,3
2020-06-15,0,50s,2176,15
2020-06-15,0,60s,1550,40
2020-06-15,0,70s,799,81
2020-06-15,0,80s,532,136
2020-06-16,0,0s,172,0
2020-06-16,0,10s,682,0
2020-06-16,0,20s,3259,0
2020-06-16,0,30s,1366,2
2020-06-16,0,40s,1599,3
2020-06-16,0,50s,2182,15
2020-06-16,0,60s,1558,40
2020-06-16,0,70s,805,81
2020-06-16,0,80s,532,137
2020-06-17,0,0s,174,0
2020-06-17,0,10s,683,0
2020-06-17,0,20s,3267,0
2020-06-17,0,30s,1380,2
2020-06-17,0,40s,1601,3
2020-06-17,0,50s,2189,15
2020-06-17,0,60s,1561,40
2020-06-17,0,70s,810,81
2020-06-17,0,80s,533,138
2020-06-18,0,0s,175,0
2020-06-18,0,10s,684,0
2020-06-18,0,20s,3277,0
2020-06-18,0,30s,1384,2
2020-06-18,0,40s,1607,3
2020-06-18,0,50s,2198,15
2020-06-18,0,60s,1574,40
2020-06-18,0,70s,817,81
2020-06-18,0,80s,541,139
2020-06-19,0,0s,175,0
2020-06-19,0,10s,686,0
2020-06-19,0,20s,3285,0
2020-06-19,0,30s,1393,2
2020-06-19,0,40s,1610,3
2020-06-19,0,50s,2210,15
2020-06-19,0,60s,1585,40
2020-06-19,0,70s,820,81
2020-06-19,0,80s,542,139
2020-06-20,0,0s,177,0
2020-06-20,0,10s,690,0
2020-06-20,0,20s,3294,0
2020-06-20,0,30s,1406,2
2020-06-20,0,40s,1618,3
2020-06-20,0,50s,2222,15
2020-06-20,0,60s,1598,40
2020-06-20,0,70s,823,81
2020-06-20,0,80s,545,139
2020-06-21,0,0s,177,0
2020-06-21,0,10s,691,0
2020-06-21,0,20s,3299,0
2020-06-21,0,30s,1416,2
2020-06-21,0,40s,1623,3
2020-06-21,0,50s,2230,15
2020-06-21,0,60s,1608,40
2020-06-21,0,70s,829,81
2020-06-21,0,80s,548,139
2020-06-22,0,0s,177,0
2020-06-22,0,10s,692,0
2020-06-22,0,20s,3302,0
2020-06-22,0,30s,1420,2
2020-06-22,0,40s,1624,3
2020-06-22,0,50s,2235,15
2020-06-22,0,60s,1610,40
2020-06-22,0,70s,830,81
2020-06-22,0,80s,548,139
2020-06-23,0,0s,180,0
2020-06-23,0,10s,692,0
2020-06-23,0,20s,3306,0
2020-06-23,0,30s,1429,2
2020-06-23,0,40s,1633,3
2020-06-23,0,50s,2244,15
2020-06-23,0,60s,1617,41
2020-06-23,0,70s,834,81
2020-06-23,0,80s,549,139
2020-06-24,0,0s,182,0
2020-06-24,0,10s,693,0
2020-06-24,0,20s,3309,0
2020-06-24,0,30s,1444,2
2020-06-24,0,40s,1644,3
2020-06-24,0,50s,2254,15
2020-06-24,0,60s,1622,41
2020-06-24,0,70s,836,81
2020-06-24,0,80s,551,139
2020-06-25,0,0s,183,0
2020-06-25,0,10s,696,0
2020-06-25,0,20s,3309,0
2020-06-25,0,30s,1453,2
2020-06-25,0,40s,1646,3
2020-06-25,0,50s,2260,15
2020-06-25,0,60s,1627,41
2020-06-25,0,70s,838,82
2020-06-25,0,80s,551,139
2020-06-26,0,0s,184,0
2020-06-26,0,10s,698,0
2020-06-26,0,20s,3317,0
2020-06-26,0,30s,1463,2
2020-06-26,0,40s,1651,3
2020-06-26,0,50s,2264,15
2020-06-26,0,60s,1633,41
2020-06-26,0,70s,839,82
2020-06-26,0,80s,553,139
2020-06-27,0,0s,185,0
2020-06-27,0,10s,700,0
2020-06-27,0,20s,3331,0
2020-06-27,0,30s,1473,2
2020-06-27,0,40s,1657,3
2020-06-27,0,50s,2269,15
2020-06-27,0,60s,1640,41
2020-06-27,0,70s,843,82
2020-06-27,0,80s,555,139
2020-06-28,0,0s,187,0
2020-06-28,0,10s,703,0
2020-06-28,0,20s,3343,0
2020-06-28,0,30s,1485,2
2020-06-28,0,40s,1667,3
2020-06-28,0,50s,2275,15
2020-06-28,0,60s,1653,41
2020-06-28,0,70s,846,82
2020-06-28,0,80s,556,139
2020-06-29,0,0s,190,0
2020-06-29,0,10s,704,0
2020-06-29,0,20s,3352,0
2020-06-29,0,30s,1490,2
2020-06-29,0,40s,1673,3
2020-06-29,0,50s,2280,15
2020-06-29,0,60s,1665,41
2020-06-29,0,70s,847,82
2020-06-29,0,80s,556,139
2020-06-30,0,0s,193,0
2020-06-30,0,10s,708,0
2020-06-30,0,20s,3362,0
2020-06-30,0,30s,1496,2
2020-06-30,0,40s,1681,3
2020-06-30,0,50s,2286,15
2020-06-30,0,60s,1668,41
2020-06-30,0,70s,850,82
2020-06-30,0,80s,556,139
